Num.Fact,Fecha,Id. Cliente,Id. Producto,Unidades,Valores_H
3810000197,1/3/2024,1000078762,4566,-1,"-141,93"
3810000198,1/12/2024,1000077124,3408,-10,"-634,15"
3810000198,1/12/2024,1000077124,5099,-1,"-329,32"
3810000200,2/23/2024,27995,4911,-60,"-3.931,91"
3810000201,3/22/2024,35333,5099,-4,"-1.142,11"
3810000206,5/16/2024,6208,5100,-3,"-568,09"
3810000209,5/16/2024,26898,3408,-1,"0,00"
3810000210,5/16/2024,28992,3408,-2,"0,00"
3810000210,5/16/2024,28992,4912,-11,"0,00"
3810000210,5/16/2024,28992,5099,-1,"0,00"
3810000212,5/24/2024,39417,4911,-12,"-1.179,57"
3810000223,9/20/2024,1000081769,4567,-15,"-1.648,97"
3810000226,10/11/2024,18670,4567,-1,"-109,93"
3810000227,10/11/2024,1000077876,5099,-2,"-604,64"
3810000227,10/11/2024,1000077876,5103,-1,"-909,69"
3810000229,10/18/2024,11577,5115,-3,"-1.459,16"
3810000231,10/24/2024,1000068599,4911,-12,"-943,66"
3810000232,10/29/2024,9641,5105,-3,"-1.022,10"
3810000237,11/27/2024,15196,4566,-2,"-193,24"
3810000239,11/27/2024,1000081356,4567,-3,"-549,66"
3810000240,12/12/2024,42054,4565,-6,"-688,04"
3810000241,1/13/2025,1000066475,4911,-12,"-1.179,57"
3810000242,1/20/2025,1000080874,5118,-1,"-553,99"
3810000244,2/17/2025,28992,4911,-12,"-972,14"
3810000246,3/6/2025,2427,4567,-1,"0,00"
3810000247,3/6/2025,2427,178,-2,"-145,60"
3810000247,3/6/2025,2427,3408,-4,"-190,22"
3810000248,3/26/2025,32501,4566,-3,"-344,02"
3810000249,3/26/2025,32501,4566,-1,"-86,00"
3810000253,4/9/2025,43041,4565,-2,"-236,22"
3810000255,4/29/2025,1000068622,5099,-2,"-616,76"
3810000256,5/12/2025,41501,4565,-3,"-354,35"
3810000256,5/12/2025,41501,4566,-3,"-354,35"
3810000256,5/12/2025,41501,4567,-1,"-150,97"
3810000259,5/16/2025,42930,178,-2,"-228,94"
